Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
" @kingki1953  yup.. maybe next 5-10 years dengan melihat asistensi dari AI ini, kebetulan ini project yg sedang saya kerjakan juga.",yup maybe next - years dengan melihat asistensi dari AI ini kebetulan ini project yg sedang saya kerjakan juga,yup maybe next - years dengan melihat asistensi dari ai ini kebetulan ini project yg sedang saya kerjakan juga,yup maybe next - years dengan melihat asistensi dari ai ini kebetulan ini project yang sedang saya kerjakan juga,"['yup', 'maybe', 'next', '-', 'years', 'dengan', 'melihat', 'asistensi', 'dari', 'ai', 'ini', 'kebetulan', 'ini', 'project', 'yang', 'sedang', 'saya', 'kerjakan', 'juga']","['yup', 'maybe', 'next', '-', 'years', 'asistensi', 'ai', 'project', 'kerjakan']","['yup', 'maybe', 'next', '-', 'years', 'asistensi', 'ai', 'project', 'kerja']",positif
kedepan ujian di pc tapi offline jadinya ya gak bisa contek,kedepan ujian di pc tapi offline jadinya ya gak bisa contek,kedepan ujian di pc tapi offline jadinya ya gak bisa contek,kedepan ujian di pc tapi offline jadinya iya tidak bisa contek,"['kedepan', 'ujian', 'di', 'pc', 'tapi', 'offline', 'jadinya', 'iya', 'tidak', 'bisa', 'contek']","['kedepan', 'ujian', 'pc', 'offline', 'iya', 'contek']","['depan', 'uji', 'pc', 'offline', 'iya', 'contek']",positif
" @naulirisetya1705  thn 40an ditemukan cikal bakal komputer, 
90an kemajuan komputer, 
2000an merebak internet (eksklusif krn mahal) & Handphone, 
2010 mulai internet masuk setiap rumah krn murah& semua org punya HP, ",thn an ditemukan cikal bakal komputer an kemajuan komputer an merebak internet eksklusif krn mahal Handphone mulai internet masuk setiap rumah krn murah semua org punya HP,thn an ditemukan cikal bakal komputer an kemajuan komputer an merebak internet eksklusif krn mahal handphone mulai internet masuk setiap rumah krn murah semua org punya hp,tahun an ditemukan cikal bakal komputer an kemajuan komputer an merebak internet eksklusif karena mahal handphone mulai internet masuk setiap rumah karena murah semua orang punya hp,"['tahun', 'an', 'ditemukan', 'cikal', 'bakal', 'komputer', 'an', 'kemajuan', 'komputer', 'an', 'merebak', 'internet', 'eksklusif', 'karena', 'mahal', 'handphone', 'mulai', 'internet', 'masuk', 'setiap', 'rumah', 'karena', 'murah', 'semua', 'orang', 'punya', 'hp']","['an', 'ditemukan', 'cikal', 'komputer', 'an', 'kemajuan', 'komputer', 'an', 'merebak', 'internet', 'eksklusif', 'mahal', 'handphone', 'internet', 'masuk', 'rumah', 'murah', 'orang', 'hp']","['an', 'temu', 'cikal', 'komputer', 'an', 'maju', 'komputer', 'an', 'rebak', 'internet', 'eksklusif', 'mahal', 'handphone', 'internet', 'masuk', 'rumah', 'murah', 'orang', 'hp']",positif
" @ridhohen1009  ya kagak lah. Di negara maju sendiri peran tenaga pendidik itu penting. ChatGPT itu sekedar mesin, bukan problem solving seperti jalan pikiran manusia.",ya kagak lah Di negara maju sendiri peran tenaga pendidik itu penting ChatGPT itu sekedar mesin bukan problem solving seperti jalan pikiran manusia,ya kagak lah di negara maju sendiri peran tenaga pendidik itu penting chatgpt itu sekedar mesin bukan problem solving seperti jalan pikiran manusia,iya kagak lah di negara maju sendiri peran tenaga pendidik itu penting chatgpt itu sekedar mesin bukan problem solving seperti jalan pikiran manusia,"['iya', 'kagak', 'lah', 'di', 'negara', 'maju', 'sendiri', 'peran', 'tenaga', 'pendidik', 'itu', 'penting', 'chatgpt', 'itu', 'sekedar', 'mesin', 'bukan', 'problem', 'solving', 'seperti', 'jalan', 'pikiran', 'manusia']","['iya', 'kagak', 'negara', 'maju', 'peran', 'tenaga', 'pendidik', 'chatgpt', 'sekedar', 'mesin', 'problem', 'solving', 'jalan', 'pikiran', 'manusia']","['iya', 'kagak', 'negara', 'maju', 'peran', 'tenaga', 'didik', 'chatgpt', 'dar', 'mesin', 'problem', 'solving', 'jalan', 'pikir', 'manusia']",positif
 @naulirisetya1705  benar karena kembali ke esensi hidup manusia itu tidak lepas dari aktivitas fisik manusia itu sendiri. Secara mudahnya kaitan manusia dengan alam (dunia nyata),benar karena kembali ke esensi hidup manusia itu tidak lepas dari aktivitas fisik manusia itu sendiri Secara mudahnya kaitan manusia dengan alam dunia nyata,benar karena kembali ke esensi hidup manusia itu tidak lepas dari aktivitas fisik manusia itu sendiri secara mudahnya kaitan manusia dengan alam dunia nyata,benar karena kembali ke esensi hidup manusia itu tidak lepas dari aktivitas fisik manusia itu sendiri secara mudahnya kaitan manusia dengan alam dunia nyata,"['benar', 'karena', 'kembali', 'ke', 'esensi', 'hidup', 'manusia', 'itu', 'tidak', 'lepas', 'dari', 'aktivitas', 'fisik', 'manusia', 'itu', 'sendiri', 'secara', 'mudahnya', 'kaitan', 'manusia', 'dengan', 'alam', 'dunia', 'nyata']","['esensi', 'hidup', 'manusia', 'lepas', 'aktivitas', 'fisik', 'manusia', 'mudahnya', 'kaitan', 'manusia', 'alam', 'dunia', 'nyata']","['esensi', 'hidup', 'manusia', 'lepas', 'aktivitas', 'fisik', 'manusia', 'mudah', 'kait', 'manusia', 'alam', 'dunia', 'nyata']",positif
"saya menyambut baik adanya perubahan, di mana kita di paksa bersaing lebih pintar lagi seperti yang anda katakan ""melek teknologi"" dosen maupun mahasiswa. sekali lagi saya berterima kasih kepada samuel H. Altman selaku CEO dari OpenAI yang telah memudahkan dan membuat jadi lebih produktif lagi aktifitas belajar dengan chatGPT",saya menyambut baik adanya perubahan di mana kita di paksa bersaing lebih pintar lagi seperti yang anda katakan melek teknologi dosen maupun mahasiswa sekali lagi saya berterima kasih kepada samuel H Altman selaku CEO dari OpenAI yang telah memudahkan dan membuat jadi lebih produktif lagi aktifitas belajar dengan chatGPT,saya menyambut baik adanya perubahan di mana kita di paksa bersaing lebih pintar lagi seperti yang anda katakan melek teknologi dosen maupun mahasiswa sekali lagi saya berterima kasih kepada samuel h altman selaku ceo dari openai yang telah memudahkan dan membuat jadi lebih produktif lagi aktifitas belajar dengan chatgpt,saya menyambut baik adanya perubahan di mana kita di paksa bersaing lebih pintar lagi seperti yang anda katakan melek teknologi dosen maupun mahasiswa sekali lagi saya berterima kasih kepada samuel h altman selaku ceo dari openai yang telah memudahkan dan membuat jadi lebih produktif lagi aktifitas belajar dengan chatgpt,"['saya', 'menyambut', 'baik', 'adanya', 'perubahan', 'di', 'mana', 'kita', 'di', 'paksa', 'bersaing', 'lebih', 'pintar', 'lagi', 'seperti', 'yang', 'anda', 'katakan', 'melek', 'teknologi', 'dosen', 'maupun', 'mahasiswa', 'sekali', 'lagi', 'saya', 'berterima', 'kasih', 'kepada', 'samuel', 'h', 'altman', 'selaku', 'ceo', 'dari', 'openai', 'yang', 'telah', 'memudahkan', 'dan', 'membuat', 'jadi', 'lebih', 'produktif', 'lagi', 'aktifitas', 'belajar', 'dengan', 'chatgpt']","['menyambut', 'perubahan', 'paksa', 'bersaing', 'pintar', 'melek', 'teknologi', 'dosen', 'mahasiswa', 'berterima', 'kasih', 'samuel', 'altman', 'ceo', 'openai', 'memudahkan', 'produktif', 'aktifitas', 'belajar', 'chatgpt']","['sambut', 'ubah', 'paksa', 'saing', 'pintar', 'melek', 'teknologi', 'dosen', 'mahasiswa', 'terima', 'kasih', 'samuel', 'altman', 'ceo', 'openai', 'mudah', 'produktif', 'aktifitas', 'ajar', 'chatgpt']",positif
 @ridhohen1009  yang akan tergantikan adalah guru yang hanya dilevel sekedar menyampaikan informasi. Yang dimana saya rasa banyak (CMIIW sy ga punya field insight dan ga punya data). Guru guru ini akan dipaksa untuk naik level atau tergantikan.,yang akan tergantikan adalah guru yang hanya dilevel sekedar menyampaikan informasi Yang dimana saya rasa banyak CMIIW sy ga punya field insight dan ga punya data Guru guru ini akan dipaksa untuk naik level atau tergantikan,yang akan tergantikan adalah guru yang hanya dilevel sekedar menyampaikan informasi yang dimana saya rasa banyak cmiiw sy ga punya field insight dan ga punya data guru guru ini akan dipaksa untuk naik level atau tergantikan,yang akan tergantikan adalah guru yang hanya dilevel sekedar menyampaikan informasi yang dimana saya rasa banyak cmiiw saya tidak punya field insight dan tidak punya data guru guru ini akan dipaksa untuk naik level atau tergantikan,"['yang', 'akan', 'tergantikan', 'adalah', 'guru', 'yang', 'hanya', 'dilevel', 'sekedar', 'menyampaikan', 'informasi', 'yang', 'dimana', 'saya', 'rasa', 'banyak', 'cmiiw', 'saya', 'tidak', 'punya', 'field', 'insight', 'dan', 'tidak', 'punya', 'data', 'guru', 'guru', 'ini', 'akan', 'dipaksa', 'untuk', 'naik', 'level', 'atau', 'tergantikan']","['tergantikan', 'guru', 'dilevel', 'sekedar', 'informasi', 'dimana', 'cmiiw', 'field', 'insight', 'data', 'guru', 'guru', 'dipaksa', 'level', 'tergantikan']","['ganti', 'guru', 'level', 'dar', 'informasi', 'mana', 'cmiiw', 'field', 'insight', 'data', 'guru', 'guru', 'paksa', 'level', 'ganti']",positif
" @entertainmentnncrawler2087  setuju banget, yg hanya sekedar menyampaiakan yg sudah dipelajari dahulu kala dan ga mau berkembang",setuju banget yg hanya sekedar menyampaiakan yg sudah dipelajari dahulu kala dan ga mau berkembang,setuju banget yg hanya sekedar menyampaiakan yg sudah dipelajari dahulu kala dan ga mau berkembang,setuju banget yang hanya sekedar menyampaiakan yang sudah dipelajari dahulu kala dan tidak mau berkembang,"['setuju', 'banget', 'yang', 'hanya', 'sekedar', 'menyampaiakan', 'yang', 'sudah', 'dipelajari', 'dahulu', 'kala', 'dan', 'tidak', 'mau', 'berkembang']","['setuju', 'banget', 'sekedar', 'menyampaiakan', 'dipelajari', 'berkembang']","['tuju', 'banget', 'dar', 'menyampaiakan', 'ajar', 'kembang']",positif
 @imamupayanto  bener konsep ini di teknologi dan pendidikan,bener konsep ini di teknologi dan pendidikan,bener konsep ini di teknologi dan pendidikan,bener konsep ini di teknologi dan pendidikan,"['bener', 'konsep', 'ini', 'di', 'teknologi', 'dan', 'pendidikan']","['bener', 'konsep', 'teknologi', 'pendidikan']","['bener', 'konsep', 'teknologi', 'didik']",positif
"INI KOMENTAR BY CHATGPT:
Saya setuju bahwa ChatGPT memiliki dampak yang luar biasa pada dunia pendidikan dan dapat memaksa pengembangan pendidikan ke arah yang tidak pernah kita pikirkan sebelumnya. Sebagai mesin kecerdasan buatan yang mampu memahami pertanyaan dan menghasilkan tanggapan, ChatGPT dapat membantu mahasiswa dalam belajar dan mengembangkan kemampuan berpikir kritis dan kreatif.",INI KOMENTAR BY CHATGPT Saya setuju bahwa ChatGPT memiliki dampak yang luar biasa pada dunia pendidikan dan dapat memaksa pengembangan pendidikan ke arah yang tidak pernah kita pikirkan sebelumnya Sebagai mesin kecerdasan buatan yang mampu memahami pertanyaan dan menghasilkan tanggapan ChatGPT dapat membantu mahasiswa dalam belajar dan mengembangkan kemampuan berpikir kritis dan kreatif,ini komentar by chatgpt saya setuju bahwa chatgpt memiliki dampak yang luar biasa pada dunia pendidikan dan dapat memaksa pengembangan pendidikan ke arah yang tidak pernah kita pikirkan sebelumnya sebagai mesin kecerdasan buatan yang mampu memahami pertanyaan dan menghasilkan tanggapan chatgpt dapat membantu mahasiswa dalam belajar dan mengembangkan kemampuan berpikir kritis dan kreatif,ini komentar by chatgpt saya setuju bahwa chatgpt memiliki dampak yang luar biasa pada dunia pendidikan dan dapat memaksa pengembangan pendidikan ke arah yang tidak pernah kita pikirkan sebelumnya sebagai mesin kecerdasan buatan yang mampu memahami pertanyaan dan menghasilkan tanggapan chatgpt dapat membantu mahasiswa dalam belajar dan mengembangkan kemampuan berpikir kritis dan kreatif,"['ini', 'komentar', 'by', 'chatgpt', 'saya', 'setuju', 'bahwa', 'chatgpt', 'memiliki', 'dampak', 'yang', 'luar', 'biasa', 'pada', 'dunia', 'pendidikan', 'dan', 'dapat', 'memaksa', 'pengembangan', 'pendidikan', 'ke', 'arah', 'yang', 'tidak', 'pernah', 'kita', 'pikirkan', 'sebelumnya', 'sebagai', 'mesin', 'kecerdasan', 'buatan', 'yang', 'mampu', 'memahami', 'pertanyaan', 'dan', 'menghasilkan', 'tanggapan', 'chatgpt', 'dapat', 'membantu', 'mahasiswa', 'dalam', 'belajar', 'dan', 'mengembangkan', 'kemampuan', 'berpikir', 'kritis', 'dan', 'kreatif']","['komentar', 'by', 'chatgpt', 'setuju', 'chatgpt', 'memiliki', 'dampak', 'dunia', 'pendidikan', 'memaksa', 'pengembangan', 'pendidikan', 'arah', 'pikirkan', 'mesin', 'kecerdasan', 'buatan', 'memahami', 'menghasilkan', 'tanggapan', 'chatgpt', 'membantu', 'mahasiswa', 'belajar', 'mengembangkan', 'kemampuan', 'berpikir', 'kritis', 'kreatif']","['komentar', 'by', 'chatgpt', 'tuju', 'chatgpt', 'milik', 'dampak', 'dunia', 'didik', 'paksa', 'kembang', 'didik', 'arah', 'pikir', 'mesin', 'cerdas', 'buat', 'paham', 'hasil', 'tanggap', 'chatgpt', 'bantu', 'mahasiswa', 'ajar', 'kembang', 'mampu', 'pikir', 'kritis', 'kreatif']",positif
 @imamupayanto  sayang nya para guru malah tidak mampu mengikuti perkembangan Jaman,sayang nya para guru malah tidak mampu mengikuti perkembangan Jaman,sayang nya para guru malah tidak mampu mengikuti perkembangan jaman,sayang nya para guru malah tidak mampu mengikuti perkembangan jaman,"['sayang', 'nya', 'para', 'guru', 'malah', 'tidak', 'mampu', 'mengikuti', 'perkembangan', 'jaman']","['sayang', 'nya', 'guru', 'mengikuti', 'perkembangan', 'jaman']","['sayang', 'nya', 'guru', 'ikut', 'kembang', 'jaman']",positif
