Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
Siap noted ,Siap noted,siap noted,siap noted,"['siap', 'noted']",['noted'],['noted'],netral
Intelligence = kecerdasan,Intelligence kecerdasan,intelligence kecerdasan,intelligence kecerdasan,"['intelligence', 'kecerdasan']","['intelligence', 'kecerdasan']","['intelligence', 'cerdas']",netral
Terimakasih banyak pakk,Terimakasih banyak pakk,terimakasih banyak pakk,terimakasih banyak pakk,"['terimakasih', 'banyak', 'pakk']","['terimakasih', 'pakk']","['terimakasih', 'pakk']",netral
 @IndrawanNugroho  woi  Elon mas sudah keluar open ai pas 2018,woi Elon mas sudah keluar open ai pas,woi elon mas sudah keluar open ai pas,woi elon mas sudah keluar open ai pas,"['woi', 'elon', 'mas', 'sudah', 'keluar', 'open', 'ai', 'pas']","['woi', 'elon', 'mas', 'open', 'ai', 'pas']","['woi', 'elon', 'mas', 'open', 'ai', 'pas']",netral
Saya tertarik dengan pendapat dosen computer science saya tentang hal ini,Saya tertarik dengan pendapat dosen computer science saya tentang hal ini,saya tertarik dengan pendapat dosen computer science saya tentang hal ini,saya tertarik dengan pendapat dosen computer science saya tentang hal ini,"['saya', 'tertarik', 'dengan', 'pendapat', 'dosen', 'computer', 'science', 'saya', 'tentang', 'hal', 'ini']","['tertarik', 'pendapat', 'dosen', 'computer', 'science']","['tarik', 'dapat', 'dosen', 'computer', 'science']",netral
 @imamupayanto  maksudnya offline world apaan bro,maksudnya offline world apaan bro,maksudnya offline world apaan bro,maksudnya offline world apaan saudara,"['maksudnya', 'offline', 'world', 'apaan', 'saudara']","['maksudnya', 'offline', 'world', 'saudara']","['maksud', 'offline', 'world', 'saudara']",netral
Y,Y,y,ya,['ya'],['ya'],['ya'],netral
 @imamupayanto  alumni apa kak,alumni apa kak,alumni apa kak,alumni apa kak,"['alumni', 'apa', 'kak']","['alumni', 'kak']","['alumni', 'kak']",netral
" @kingki1953  We'll see.. sampai sekarang masih belum ada pemikiran adanya urgensi untuk segera pindah ke ""metaverse"", kalau augmented reality masih ada real use case nya lah karena masih di dunia nyata, tapi pindah ke virtual world? Hmm i'm a bit skeptical ",We ll see sampai sekarang masih belum ada pemikiran adanya urgensi untuk segera pindah ke metaverse kalau augmented reality masih ada real use case nya lah karena masih di dunia nyata tapi pindah ke virtual world Hmm i m a bit skeptical,we ll see sampai sekarang masih belum ada pemikiran adanya urgensi untuk segera pindah ke metaverse kalau augmented reality masih ada real use case nya lah karena masih di dunia nyata tapi pindah ke virtual world hmm i m a bit skeptical,we ll see sampai sekarang masih belum ada pemikiran adanya urgensi untuk segera pindah ke metaverse kalau augmented reality masih ada real use case nya lah karena masih di dunia nyata tapi pindah ke virtual world hmm i m a bit skeptical,"['we', 'll', 'see', 'sampai', 'sekarang', 'masih', 'belum', 'ada', 'pemikiran', 'adanya', 'urgensi', 'untuk', 'segera', 'pindah', 'ke', 'metaverse', 'kalau', 'augmented', 'reality', 'masih', 'ada', 'real', 'use', 'case', 'nya', 'lah', 'karena', 'masih', 'di', 'dunia', 'nyata', 'tapi', 'pindah', 'ke', 'virtual', 'world', 'hmm', 'i', 'm', 'a', 'bit', 'skeptical']","['we', 'll', 'see', 'pemikiran', 'urgensi', 'pindah', 'metaverse', 'augmented', 'reality', 'real', 'use', 'case', 'nya', 'dunia', 'nyata', 'pindah', 'virtual', 'world', 'hmm', 'bit', 'skeptical']","['we', 'll', 'see', 'pikir', 'urgensi', 'pindah', 'metaverse', 'augmented', 'reality', 'real', 'use', 'case', 'nya', 'dunia', 'nyata', 'pindah', 'virtual', 'world', 'hmm', 'bit', 'skeptical']",netral
Konvensional itu apa bang?,Konvensional itu apa bang,konvensional itu apa bang,konvensional itu apa bang,"['konvensional', 'itu', 'apa', 'bang']","['konvensional', 'bang']","['konvensional', 'bang']",netral
Jadi tantangan serius bagi periset untuk Mengembangkan riset murni tanpa bantuan AI,Jadi tantangan serius bagi periset untuk Mengembangkan riset murni tanpa bantuan AI,jadi tantangan serius bagi periset untuk mengembangkan riset murni tanpa bantuan ai,jadi tantangan serius bagi periset untuk mengembangkan riset murni tanpa bantuan ai,"['jadi', 'tantangan', 'serius', 'bagi', 'periset', 'untuk', 'mengembangkan', 'riset', 'murni', 'tanpa', 'bantuan', 'ai']","['tantangan', 'serius', 'periset', 'mengembangkan', 'riset', 'murni', 'bantuan', 'ai']","['tantang', 'serius', 'riset', 'kembang', 'riset', 'murni', 'bantu', 'ai']",netral
Yang takutnya CHAT GPT ini bisa bikin skripsi kita dalam hitungan detik saja tanpa plagiarisme wkwk,Yang takutnya CHAT GPT ini bisa bikin skripsi kita dalam hitungan detik saja tanpa plagiarisme wkwk,yang takutnya chat gpt ini bisa bikin skripsi kita dalam hitungan detik saja tanpa plagiarisme wkwk,yang takutnya chat gpt ini bisa bikin skripsi kita dalam hitungan detik saja tanpa plagiarisme wkwk,"['yang', 'takutnya', 'chat', 'gpt', 'ini', 'bisa', 'bikin', 'skripsi', 'kita', 'dalam', 'hitungan', 'detik', 'saja', 'tanpa', 'plagiarisme', 'wkwk']","['takutnya', 'chat', 'gpt', 'bikin', 'skripsi', 'hitungan', 'detik', 'plagiarisme', 'wkwk']","['takut', 'chat', 'gpt', 'bikin', 'skripsi', 'hitung', 'detik', 'plagiarisme', 'wkwk']",netral
" @imamupayanto  ya ga bisa smw selesai sama chat gpt bro. Poverty, inequality, climate change sampai orang mabuk agama itu semua diluar sana bro, offline word. Realitas masalah dunia yang jauh lebih rumit. Emang bisa diselesaikan sama chat gpt?",ya ga bisa smw selesai sama chat gpt bro Poverty inequality climate change sampai orang mabuk agama itu semua diluar sana bro offline word Realitas masalah dunia yang jauh lebih rumit Emang bisa diselesaikan sama chat gpt,ya ga bisa smw selesai sama chat gpt bro poverty inequality climate change sampai orang mabuk agama itu semua diluar sana bro offline word realitas masalah dunia yang jauh lebih rumit emang bisa diselesaikan sama chat gpt,iya tidak bisa smw selesai sama chat gpt saudara poverty inequality climate change sampai orang mabuk agama itu semua diluar sana saudara offline word realitas masalah dunia yang jauh lebih rumit emang bisa diselesaikan sama chat gpt,"['iya', 'tidak', 'bisa', 'smw', 'selesai', 'sama', 'chat', 'gpt', 'saudara', 'poverty', 'inequality', 'climate', 'change', 'sampai', 'orang', 'mabuk', 'agama', 'itu', 'semua', 'diluar', 'sana', 'saudara', 'offline', 'word', 'realitas', 'masalah', 'dunia', 'yang', 'jauh', 'lebih', 'rumit', 'emang', 'bisa', 'diselesaikan', 'sama', 'chat', 'gpt']","['iya', 'smw', 'selesai', 'chat', 'gpt', 'saudara', 'poverty', 'inequality', 'climate', 'change', 'orang', 'mabuk', 'agama', 'diluar', 'saudara', 'offline', 'word', 'realitas', 'dunia', 'rumit', 'emang', 'diselesaikan', 'chat', 'gpt']","['iya', 'smw', 'selesai', 'chat', 'gpt', 'saudara', 'poverty', 'inequality', 'climate', 'change', 'orang', 'mabuk', 'agama', 'luar', 'saudara', 'offline', 'word', 'realitas', 'dunia', 'rumit', 'emang', 'selesai', 'chat', 'gpt']",netral
