Comment,cleanComment,resultCaseFolding,resultReplaceSlang,resultTokenize,resultStopword,resultStemming,sentimen
 @itsvan5791  lah malah ngata2in org,lah malah ngata in org,lah malah ngata in org,lah malah ngata in orang,"['lah', 'malah', 'ngata', 'in', 'orang']","['ngata', 'in', 'orang']","['ngata', 'in', 'orang']",negatif
 @lifeisneverthesame910  ya dihitung tapi tetep aja banyak tergantikan,ya dihitung tapi tetep aja banyak tergantikan,ya dihitung tapi tetep aja banyak tergantikan,iya dihitung tapi tetep aja banyak tergantikan,"['iya', 'dihitung', 'tapi', 'tetep', 'aja', 'banyak', 'tergantikan']","['iya', 'dihitung', 'tetep', 'aja', 'tergantikan']","['iya', 'hitung', 'tetep', 'aja', 'ganti']",negatif
 @belajaringgris6485  untuk konstruksi belum bisa. faktanya begitu.,untuk konstruksi belum bisa faktanya begitu,untuk konstruksi belum bisa faktanya begitu,untuk konstruksi belum bisa faktanya begitu,"['untuk', 'konstruksi', 'belum', 'bisa', 'faktanya', 'begitu']","['konstruksi', 'faktanya']","['konstruksi', 'fakta']",negatif
" @salmanalfarisi4174  miris, ga punya etika",miris ga punya etika,miris ga punya etika,miris tidak punya etika,"['miris', 'tidak', 'punya', 'etika']","['miris', 'etika']","['miris', 'etika']",negatif
"Makanya saya tidak menuntut anak saya untuk jadi juara kelas disekolah. Saya malah mendukung kreativitas yg dimiliki anak saya. Mungkin untuk 20-30 tahun yg akan datang, pekerjaan dibidang pertanianlah yg masih bisa diandalkan, yg blm bisa tergantikan sepenuhnya oleh AI",Makanya saya tidak menuntut anak saya untuk jadi juara kelas disekolah Saya malah mendukung kreativitas yg dimiliki anak saya Mungkin untuk - tahun yg akan datang pekerjaan dibidang pertanianlah yg masih bisa diandalkan yg blm bisa tergantikan sepenuhnya oleh AI,makanya saya tidak menuntut anak saya untuk jadi juara kelas disekolah saya malah mendukung kreativitas yg dimiliki anak saya mungkin untuk - tahun yg akan datang pekerjaan dibidang pertanianlah yg masih bisa diandalkan yg blm bisa tergantikan sepenuhnya oleh ai,makanya saya tidak menuntut anak saya untuk jadi juara kelas disekolah saya malah mendukung kreativitas yang dimiliki anak saya mungkin untuk - tahun yang akan datang pekerjaan dibidang pertanianlah yang masih bisa diandalkan yang belum bisa tergantikan sepenuhnya oleh ai,"['makanya', 'saya', 'tidak', 'menuntut', 'anak', 'saya', 'untuk', 'jadi', 'juara', 'kelas', 'disekolah', 'saya', 'malah', 'mendukung', 'kreativitas', 'yang', 'dimiliki', 'anak', 'saya', 'mungkin', 'untuk', '-', 'tahun', 'yang', 'akan', 'datang', 'pekerjaan', 'dibidang', 'pertanianlah', 'yang', 'masih', 'bisa', 'diandalkan', 'yang', 'belum', 'bisa', 'tergantikan', 'sepenuhnya', 'oleh', 'ai']","['menuntut', 'anak', 'juara', 'kelas', 'disekolah', 'mendukung', 'kreativitas', 'dimiliki', 'anak', '-', 'pekerjaan', 'dibidang', 'pertanianlah', 'diandalkan', 'tergantikan', 'sepenuhnya', 'ai']","['tuntut', 'anak', 'juara', 'kelas', 'seko', 'dukung', 'kreativitas', 'milik', 'anak', '-', 'kerja', 'bidang', 'tani', 'andal', 'ganti', 'sepenuh', 'ai']",negatif
"Tapi ingat bahwa chat gpt, berdampak buruk terutama mampu membuat puisi cinta dan juga mampu membuat mahasiswa lulus tes pekerjaan hanya pakai Ai terlebih jika makin banyak yang salah gunakan chat gpt ini sehebat apapun manusia Bakalan terbongkar kalau dia pakar palsu",Tapi ingat bahwa chat gpt berdampak buruk terutama mampu membuat puisi cinta dan juga mampu membuat mahasiswa lulus tes pekerjaan hanya pakai Ai terlebih jika makin banyak yang salah gunakan chat gpt ini sehebat apapun manusia Bakalan terbongkar kalau dia pakar palsu,tapi ingat bahwa chat gpt berdampak buruk terutama mampu membuat puisi cinta dan juga mampu membuat mahasiswa lulus tes pekerjaan hanya pakai ai terlebih jika makin banyak yang salah gunakan chat gpt ini sehebat apapun manusia bakalan terbongkar kalau dia pakar palsu,tapi ingat bahwa chat gpt berdampak buruk terutama mampu membuat puisi cinta dan juga mampu membuat mahasiswa lulus tes pekerjaan hanya pakai ai terlebih jika makin banyak yang salah gunakan chat gpt ini sehebat apapun manusia bakalan terbongkar kalau dia pakar palsu,"['tapi', 'ingat', 'bahwa', 'chat', 'gpt', 'berdampak', 'buruk', 'terutama', 'mampu', 'membuat', 'puisi', 'cinta', 'dan', 'juga', 'mampu', 'membuat', 'mahasiswa', 'lulus', 'tes', 'pekerjaan', 'hanya', 'pakai', 'ai', 'terlebih', 'jika', 'makin', 'banyak', 'yang', 'salah', 'gunakan', 'chat', 'gpt', 'ini', 'sehebat', 'apapun', 'manusia', 'bakalan', 'terbongkar', 'kalau', 'dia', 'pakar', 'palsu']","['chat', 'gpt', 'berdampak', 'buruk', 'puisi', 'cinta', 'mahasiswa', 'lulus', 'tes', 'pekerjaan', 'pakai', 'ai', 'salah', 'chat', 'gpt', 'sehebat', 'apapun', 'manusia', 'terbongkar', 'pakar', 'palsu']","['chat', 'gpt', 'dampak', 'buruk', 'puisi', 'cinta', 'mahasiswa', 'lulus', 'tes', 'kerja', 'pakai', 'ai', 'salah', 'chat', 'gpt', 'hebat', 'apa', 'manusia', 'bongkar', 'pakar', 'palsu']",negatif
"wah iya juga ya, gak kepikiran gw.",wah iya juga ya gak kepikiran gw,wah iya juga ya gak kepikiran gw,wah iya juga iya tidak kepikiran saya,"['wah', 'iya', 'juga', 'iya', 'tidak', 'kepikiran', 'saya']","['iya', 'iya', 'kepikiran']","['iya', 'iya', 'pikir']",negatif
 @lutfiadam3225  ya beda lah. dari skin aja udh ketauan,ya beda lah dari skin aja udh ketauan,ya beda lah dari skin aja udh ketauan,iya beda lah dari skin aja sudah ketauan,"['iya', 'beda', 'lah', 'dari', 'skin', 'aja', 'sudah', 'ketauan']","['iya', 'beda', 'skin', 'aja', 'ketauan']","['iya', 'beda', 'skin', 'aja', 'tau']",negatif
 @filipadriann9513  nanti size gamenya jadi bengkak.,nanti size gamenya jadi bengkak,nanti size gamenya jadi bengkak,nanti size gamenya jadi bengkak,"['nanti', 'size', 'gamenya', 'jadi', 'bengkak']","['size', 'gamenya', 'bengkak']","['size', 'gamenya', 'bengkak']",negatif
semoga anggota DPR kedepannya bisa di kerjakan chatGPT,semoga anggota DPR kedepannya bisa di kerjakan chatGPT,semoga anggota dpr kedepannya bisa di kerjakan chatgpt,semoga anggota dpr kedepannya bisa di kerjakan chatgpt,"['semoga', 'anggota', 'dpr', 'kedepannya', 'bisa', 'di', 'kerjakan', 'chatgpt']","['semoga', 'anggota', 'dpr', 'kedepannya', 'kerjakan', 'chatgpt']","['moga', 'anggota', 'dpr', 'depan', 'kerja', 'chatgpt']",negatif
Setuju ,Setuju,setuju,setuju,['setuju'],['setuju'],['tuju'],negatif
Krn itu bubarkan dpr (agar anggaran keuangan negara terselamatkan dr pemborosan yg tdk berguna tdk ada kegunaanya dr para anggota dpr yg lbh banyak dungunya),Krn itu bubarkan dpr agar anggaran keuangan negara terselamatkan dr pemborosan yg tdk berguna tdk ada kegunaanya dr para anggota dpr yg lbh banyak dungunya,krn itu bubarkan dpr agar anggaran keuangan negara terselamatkan dr pemborosan yg tdk berguna tdk ada kegunaanya dr para anggota dpr yg lbh banyak dungunya,karena itu bubarkan dpr agar anggaran keuangan negara terselamatkan dari pemborosan yang tidak berguna tidak ada kegunaanya dari para anggota dpr yang lebih banyak dungunya,"['karena', 'itu', 'bubarkan', 'dpr', 'agar', 'anggaran', 'keuangan', 'negara', 'terselamatkan', 'dari', 'pemborosan', 'yang', 'tidak', 'berguna', 'tidak', 'ada', 'kegunaanya', 'dari', 'para', 'anggota', 'dpr', 'yang', 'lebih', 'banyak', 'dungunya']","['bubarkan', 'dpr', 'anggaran', 'keuangan', 'negara', 'terselamatkan', 'pemborosan', 'berguna', 'kegunaanya', 'anggota', 'dpr', 'dungunya']","['bubar', 'dpr', 'anggar', 'uang', 'negara', 'selamat', 'boros', 'guna', 'kegunaanya', 'anggota', 'dpr', 'dungu']",negatif
Setuju! Jadi menghapus Korupsi/Kolusi/Non Produktif. Mari dukung Pencalonan AI jadi Ketua & Anggota DPR/MPR RI!!!,Setuju Jadi menghapus Korupsi Kolusi Non Produktif Mari dukung Pencalonan AI jadi Ketua Anggota DPR MPR RI,setuju jadi menghapus korupsi kolusi non produktif mari dukung pencalonan ai jadi ketua anggota dpr mpr ri,setuju jadi menghapus korupsi kolusi non produktif mari dukung pencalonan ai jadi ketua anggota dpr mpr ri,"['setuju', 'jadi', 'menghapus', 'korupsi', 'kolusi', 'non', 'produktif', 'mari', 'dukung', 'pencalonan', 'ai', 'jadi', 'ketua', 'anggota', 'dpr', 'mpr', 'ri']","['setuju', 'menghapus', 'korupsi', 'kolusi', 'non', 'produktif', 'mari', 'dukung', 'pencalonan', 'ai', 'ketua', 'anggota', 'dpr', 'mpr', 'ri']","['tuju', 'hapus', 'korupsi', 'kolusi', 'non', 'produktif', 'mari', 'dukung', 'calon', 'ai', 'ketua', 'anggota', 'dpr', 'mpr', 'ri']",negatif
"Semoga chatGPT memberikan influenz yang positif untuk terangkatnya harkat dan martabat rakyat Indonesia secara ekonomi, sosial dan politik sehingga kerukunan agama menjadi damai kembali",Semoga chatGPT memberikan influenz yang positif untuk terangkatnya harkat dan martabat rakyat Indonesia secara ekonomi sosial dan politik sehingga kerukunan agama menjadi damai kembali,semoga chatgpt memberikan influenz yang positif untuk terangkatnya harkat dan martabat rakyat indonesia secara ekonomi sosial dan politik sehingga kerukunan agama menjadi damai kembali,semoga chatgpt memberikan influenz yang positif untuk terangkatnya harkat dan martabat rakyat indonesia secara ekonomi sosial dan politik sehingga kerukunan agama menjadi damai kembali,"['semoga', 'chatgpt', 'memberikan', 'influenz', 'yang', 'positif', 'untuk', 'terangkatnya', 'harkat', 'dan', 'martabat', 'rakyat', 'indonesia', 'secara', 'ekonomi', 'sosial', 'dan', 'politik', 'sehingga', 'kerukunan', 'agama', 'menjadi', 'damai', 'kembali']","['semoga', 'chatgpt', 'influenz', 'positif', 'terangkatnya', 'harkat', 'martabat', 'rakyat', 'indonesia', 'ekonomi', 'sosial', 'politik', 'kerukunan', 'agama', 'damai']","['moga', 'chatgpt', 'influenz', 'positif', 'angkat', 'harkat', 'martabat', 'rakyat', 'indonesia', 'ekonomi', 'sosial', 'politik', 'rukun', 'agama', 'damai']",negatif
"kreatifitas tanpa batas , seni tak bisa dinilai dengan AI .",kreatifitas tanpa batas seni tak bisa dinilai dengan AI,kreatifitas tanpa batas seni tak bisa dinilai dengan ai,kreatifitas tanpa batas seni tak bisa dinilai dengan ai,"['kreatifitas', 'tanpa', 'batas', 'seni', 'tak', 'bisa', 'dinilai', 'dengan', 'ai']","['kreatifitas', 'batas', 'seni', 'dinilai', 'ai']","['kreatifitas', 'batas', 'seni', 'nilai', 'ai']",negatif
Anak -anak di sekolah kami malah kami encourage untuk menggunakan Chatgpt untuk membantu mereka dalam membuat sebuah karya analisa. karena tugas di sekolah kami bukan hafalan tetapi analisis esai,Anak -anak di sekolah kami malah kami encourage untuk menggunakan Chatgpt untuk membantu mereka dalam membuat sebuah karya analisa karena tugas di sekolah kami bukan hafalan tetapi analisis esai,anak -anak di sekolah kami malah kami encourage untuk menggunakan chatgpt untuk membantu mereka dalam membuat sebuah karya analisa karena tugas di sekolah kami bukan hafalan tetapi analisis esai,anak -anak di sekolah kami malah kami encourage untuk menggunakan chatgpt untuk membantu mereka dalam membuat sebuah karya analisa karena tugas di sekolah kami bukan hafalan tetapi analisis esai,"['anak', '-anak', 'di', 'sekolah', 'kami', 'malah', 'kami', 'encourage', 'untuk', 'menggunakan', 'chatgpt', 'untuk', 'membantu', 'mereka', 'dalam', 'membuat', 'sebuah', 'karya', 'analisa', 'karena', 'tugas', 'di', 'sekolah', 'kami', 'bukan', 'hafalan', 'tetapi', 'analisis', 'esai']","['anak', '-anak', 'sekolah', 'encourage', 'chatgpt', 'membantu', 'karya', 'analisa', 'tugas', 'sekolah', 'hafalan', 'analisis', 'esai']","['anak', '-anak', 'sekolah', 'encourage', 'chatgpt', 'bantu', 'karya', 'analisa', 'tugas', 'sekolah', 'hafal', 'analisis', 'esai']",negatif
"aku udah pake chatGPT untuk keperluan saintifik. kalo sebatas esai singkat tentang topik umum tertentu chatGPT nggak ada kendala. tapi lain lagi kalo udah mengarah ke arah saintifik yang harus menyertakan referensi dan data yang valid, masih sering ngaco, aku suruh chatGPT untuk memvalidasi data yang dia peroleh sendiri juga masih belum bisa. jadi intinya chatGPT belum sepenuhnya menggantikan penulis manusia, bagaimanapun tulisan manusia itu bisa dinilai kedalaman analisa tulisannya. toh sumber informasi chatGPT ya dari input2 penulis lain. intinya kalo penulis yang open minded justru nggak akan merasa tersaingi dengan chatGPT, chatGPT justru bisa membantu meringankan beban penulisan. soal tugas esai sekolah mah itu balik lagi ke knowladge gurunya, antara guru sama murid siapa yang paling up tp date tentang teknologi. mereka yang tidak bisa mengikuti perkembangan teknologi justru mereka yang akan obsolete",aku udah pake chatGPT untuk keperluan saintifik kalo sebatas esai singkat tentang topik umum tertentu chatGPT nggak ada kendala tapi lain lagi kalo udah mengarah ke arah saintifik yang harus menyertakan referensi dan data yang valid masih sering ngaco aku suruh chatGPT untuk memvalidasi data yang dia peroleh sendiri juga masih belum bisa jadi intinya chatGPT belum sepenuhnya menggantikan penulis manusia bagaimanapun tulisan manusia itu bisa dinilai kedalaman analisa tulisannya toh sumber informasi chatGPT ya dari input penulis lain intinya kalo penulis yang open minded justru nggak akan merasa tersaingi dengan chatGPT chatGPT justru bisa membantu meringankan beban penulisan soal tugas esai sekolah mah itu balik lagi ke knowladge gurunya antara guru sama murid siapa yang paling up tp date tentang teknologi mereka yang tidak bisa mengikuti perkembangan teknologi justru mereka yang akan obsolete,aku udah pake chatgpt untuk keperluan saintifik kalo sebatas esai singkat tentang topik umum tertentu chatgpt nggak ada kendala tapi lain lagi kalo udah mengarah ke arah saintifik yang harus menyertakan referensi dan data yang valid masih sering ngaco aku suruh chatgpt untuk memvalidasi data yang dia peroleh sendiri juga masih belum bisa jadi intinya chatgpt belum sepenuhnya menggantikan penulis manusia bagaimanapun tulisan manusia itu bisa dinilai kedalaman analisa tulisannya toh sumber informasi chatgpt ya dari input penulis lain intinya kalo penulis yang open minded justru nggak akan merasa tersaingi dengan chatgpt chatgpt justru bisa membantu meringankan beban penulisan soal tugas esai sekolah mah itu balik lagi ke knowladge gurunya antara guru sama murid siapa yang paling up tp date tentang teknologi mereka yang tidak bisa mengikuti perkembangan teknologi justru mereka yang akan obsolete,aku udah pake chatgpt untuk keperluan saintifik kalau sebatas esai singkat tentang topik umum tertentu chatgpt nggak ada kendala tapi lain lagi kalau udah mengarah ke arah saintifik yang harus menyertakan referensi dan data yang valid masih sering ngaco aku suruh chatgpt untuk memvalidasi data yang dia peroleh sendiri juga masih belum bisa jadi intinya chatgpt belum sepenuhnya menggantikan penulis manusia bagaimanapun tulisan manusia itu bisa dinilai kedalaman analisa tulisannya toh sumber informasi chatgpt iya dari input penulis lain intinya kalau penulis yang open minded justru nggak akan merasa tersaingi dengan chatgpt chatgpt justru bisa membantu meringankan beban penulisan soal tugas esai sekolah mah itu balik lagi ke knowladge gurunya antara guru sama murid siapa yang paling up tapi date tentang teknologi mereka yang tidak bisa mengikuti perkembangan teknologi justru mereka yang akan obsolete,"['aku', 'udah', 'pake', 'chatgpt', 'untuk', 'keperluan', 'saintifik', 'kalau', 'sebatas', 'esai', 'singkat', 'tentang', 'topik', 'umum', 'tertentu', 'chatgpt', 'nggak', 'ada', 'kendala', 'tapi', 'lain', 'lagi', 'kalau', 'udah', 'mengarah', 'ke', 'arah', 'saintifik', 'yang', 'harus', 'menyertakan', 'referensi', 'dan', 'data', 'yang', 'valid', 'masih', 'sering', 'ngaco', 'aku', 'suruh', 'chatgpt', 'untuk', 'memvalidasi', 'data', 'yang', 'dia', 'peroleh', 'sendiri', 'juga', 'masih', 'belum', 'bisa', 'jadi', 'intinya', 'chatgpt', 'belum', 'sepenuhnya', 'menggantikan', 'penulis', 'manusia', 'bagaimanapun', 'tulisan', 'manusia', 'itu', 'bisa', 'dinilai', 'kedalaman', 'analisa', 'tulisannya', 'toh', 'sumber', 'informasi', 'chatgpt', 'iya', 'dari', 'input', 'penulis', 'lain', 'intinya', 'kalau', 'penulis', 'yang', 'open', 'minded', 'justru', 'nggak', 'akan', 'merasa', 'tersaingi', 'dengan', 'chatgpt', 'chatgpt', 'justru', 'bisa', 'membantu', 'meringankan', 'beban', 'penulisan', 'soal', 'tugas', 'esai', 'sekolah', 'mah', 'itu', 'balik', 'lagi', 'ke', 'knowladge', 'gurunya', 'antara', 'guru', 'sama', 'murid', 'siapa', 'yang', 'paling', 'up', 'tapi', 'date', 'tentang', 'teknologi', 'mereka', 'yang', 'tidak', 'bisa', 'mengikuti', 'perkembangan', 'teknologi', 'justru', 'mereka', 'yang', 'akan', 'obsolete']","['udah', 'pake', 'chatgpt', 'keperluan', 'saintifik', 'sebatas', 'esai', 'singkat', 'topik', 'chatgpt', 'nggak', 'kendala', 'udah', 'mengarah', 'arah', 'saintifik', 'menyertakan', 'referensi', 'data', 'valid', 'ngaco', 'suruh', 'chatgpt', 'memvalidasi', 'data', 'peroleh', 'intinya', 'chatgpt', 'sepenuhnya', 'menggantikan', 'penulis', 'manusia', 'tulisan', 'manusia', 'dinilai', 'kedalaman', 'analisa', 'tulisannya', 'sumber', 'informasi', 'chatgpt', 'iya', 'input', 'penulis', 'intinya', 'penulis', 'open', 'minded', 'nggak', 'tersaingi', 'chatgpt', 'chatgpt', 'membantu', 'meringankan', 'beban', 'penulisan', 'tugas', 'esai', 'sekolah', 'mah', 'knowladge', 'gurunya', 'guru', 'murid', 'up', 'date', 'teknologi', 'mengikuti', 'perkembangan', 'teknologi', 'obsolete']","['udah', 'pake', 'chatgpt', 'perlu', 'saintifik', 'batas', 'esai', 'singkat', 'topik', 'chatgpt', 'nggak', 'kendala', 'udah', 'arah', 'arah', 'saintifik', 'serta', 'referensi', 'data', 'valid', 'ngaco', 'suruh', 'chatgpt', 'memvalidasi', 'data', 'oleh', 'inti', 'chatgpt', 'sepenuh', 'ganti', 'tulis', 'manusia', 'tulis', 'manusia', 'nilai', 'dalam', 'analisa', 'tulis', 'sumber', 'informasi', 'chatgpt', 'iya', 'input', 'tulis', 'inti', 'tulis', 'open', 'minded', 'nggak', 'saing', 'chatgpt', 'chatgpt', 'bantu', 'ringan', 'beban', 'tulis', 'tugas', 'esai', 'sekolah', 'mah', 'knowladge', 'guru', 'guru', 'murid', 'up', 'date', 'teknologi', 'ikut', 'kembang', 'teknologi', 'obsolete']",negatif
